見せる,みせる,to show; to display
享受,きょうじゅ,reception; acceptance; enjoyment; being given
興業,こうぎょう,industrial enterprise
虚しい,むなしい,empty; void; vacant / vain; fruitless; futile; ineffective / lifeless
結びつき,むすびつき,connection; relation
耕作,こうさく,cultivation; farming
香辛料,こうしんりょう,spices; condiment
刺繍,ししゅう,embroidery
思いつき,おもいつき,plan; idea; suggestion
時刻表,じこくひょう,timetable; schedule
社宅,しゃたく,company owned house
手がける,てがける,to handle; to manage; to deal with; to work with; to have experience with / to rear; to look after
出社,しゅっしゃ,going to work (e.g. in the morning); coming to work
増進,ぞうしん,promoting; increase; advance
即する,そくする,to conform to; to agree with; to be adapted to; to be based on
つかの間,つかのま,moment; brief space of time
体つき,からだつき,body build; figure
畜産,ちくさん,animal husbandry; livestock industry
長編,ちょうへん,"long (e.g. novel, film)"
痛める,いためる,to hurt; to injure; to cause pain / to harm; to damage; to spoil / to worry; to bother; to be grieved over; to afflict / to cause financial loss; to hurt one's pocket
壺,つぼ,"jar; pot; vase / dice cup / depression (i.e. the basin of a waterfall) / target (when aiming an arrow) / (figurative) bull's-eye / key point (of a conversation, etc.) / acupuncture point; moxibustion point / nodes on a fingerboard (of a shamisen, etc.)"
逃亡,とうぼう,escape; flight; running away; elopement; fleeing
同級,どうきゅう,the same grade; same class
かねて,予て,previously; already; for some time; for quite a while
嗜好,しこう,taste; liking; preference
くじ引き,くじびき,lottery; drawn lot
良し悪し,よしあし,right or wrong; good or bad; quality; suitability / having both merits and demerits; having both advantages and disadvantages
行い,おこない,deed; act; action; conduct; behavior; behaviour; asceticism
切り替える,きりかえる,to change; to exchange; to convert; to renew; to throw a switch; to replace; to switch over
映える,はえる,to shine; to glow / to look attractive; to look nice; to be set off (by)
保母,ほぼ,childcare worker; kindergarten teacher
またがる,跨がる,to straddle; to sit astride; to mount / to extend over; to spread over; to span; to extend into
見かける,みかける,to (happen to) see; to notice; to catch sight of
にもかかわらず,にも拘らず,in spite of; nevertheless; although; despite; no matter the; regardless of
あっさり,,"easily; readily; quickly; flatly (refuse) / lightly (seasoned food, applied make-up, etc.); plainly; simply"
あべこべ,,contrary; opposite; inverse; reverse; back-to-front
あやふや,,uncertain; vague; ambiguous
あら,,oh; ah
いかにも,如何にも,indeed; really; phrase indicating agreement
オドオド,,timidly; nervously; hesitantly; trembling (with fear)
がっしり,,firmly; solidly; sturdily; strongly; toughly
がっちり,,solid; robust; well-built / tight; taut / shrewd; calculating; astute
きっちり,,exactly; precisely; punctually; on the dot / closely; tightly; (fitting) perfectly / properly; without fail
きっぱり,,clearly; plainly; distinctly; decisively; flatly; definitely; resolutely
くすぐったい,擽ったい,ticklish / embarrassing
こだわる,拘る,to fuss over; to be particular about / to be obsessive about; to be fixated on / to obstruct; to hinder
ことごとく,悉く,altogether; entirely
さっと,颯と,"quickly (esp. actions) / suddenly (esp. wind, rain, etc.)"
さん,,Mr.; Mrs.; Miss; Ms.; -san / politeness marker
しくじる,,to fail; to blunder; to mess up; to screw up / to be dismissed; to be fired
しょっちゅう,,always; constantly; frequently; often
じっくり,,deliberately; carefully; thoroughly; without rushing
ずばり,,decisively; decidedly; boldly; once and for all; unreservedly; frankly / precisely; exactly
ずるずる,,(dragging a large or heavy item) slowly / (falling) little by little; (slipping) gradually; (drawing back) slowly; with a slither / on and on; while putting off; slovenly; interminably / with a slurp; with a sniffle / loose; lax; inconclusive; unresolved
ずれる,,to slide; to slip off; to get dislocated; to be out of alignment; to get dislodged; to deviate; to shift (position); to be out of sync.; to be slightly off; to be off-point
ぞんざい,,rough; careless; slovenly; slipshod; rude; impolite
だぶだぶ,,loose (of clothing); baggy / flabby; saggy / sloshing; slopping; overflowing / plenty (of pouring a liquid); drowning (e.g. in a sauce)
だらけ,,"full of (e.g. mistakes); riddled with / covered all over with (blood, mud, etc.)"
だるい,怠い,"sluggish; languid; listless; heavy (heart, legs, etc.); dull / bothersome; tiresome"
ちょくちょく,,often; frequently; now and then; occasionally
てっきり,,surely; certainly; without doubt
でかい,,huge; big; gargantuan
とんだ,,unthinkable; unimaginable; inconceivable; unexpected / terrible; awful; serious / very
どうにか,,in some way or other; one way or another; somehow; only just; barely
どうやら,,it seems like; it appears that / somehow or other
バテる,,to be exhausted; to be worn out
ひたすら,只管,intently; single‐mindedly; devotedly; solely; earnestly; with all one's heart
びっしょり,,wet through; drenched
ぶかぶか,,too large (clothing); baggy; loose-fitting / bulging; warping / parp; toot; blast
ぶらぶら,,dangling heavily; swaying to and fro; swinging / strolling; rambling; roaming; wandering / idly; lazily; leisurely; aimlessly / persisting (of an illness)
ペコペコ,,very hungry; starving; famished / fawning; bowing and scraping; being obsequious; being servile; kowtowing; bowing repeatedly; cringing / giving in; being dented
ぼやける,,to become dim; to become blurred
まごつく,間誤付く,to be confused; to be flustered; to be at a loss
もがく,藻掻く,to struggle; to writhe; to wriggle; to squirm / to act franticly; to make desperate efforts
ややこしい,,puzzling; tangled; complicated; complex
ゆとり,,elbowroom; leeway; room; reserve; margin; allowance; latitude; time
エアメール,,air mail
サボる,,to be truant; to play hooky; to skip school; to skip out; to be idle; to sabotage by slowness
ミスプリント,,misprint
安っぽい,やすっぽい,cheap-looking; tawdry; insignificant
もって,以て,with; by / by means of; because; in view of
やすい,易い,easy / likely to ...; have a tendency to ... / easy to ...
逸らす,そらす,"to turn away (one's eyes, face, etc.); to avert; to divert (e.g. one's attention); to evade (e.g a question); to change (e.g. the subject) / to displease; to annoy; to offend; to upset / to miss (the target, ball, etc.)"
員,いん,member
渦,うず,whirlpool; swirl; eddy; vortex; maelstrom
嘘つき,うそつき,liar (sometimes said with not much seriousness); fibber
煙たい,けむたい,smoky / awkward; ill at ease
煙る,けむる,to smoke (e.g. fire); to billow smoke; to smoulder; to smolder / to be hazy; to look dim
化合,かごう,chemical combination
化繊,かせん,synthetic fiber; synthetic fibre; chemical fiber; chemical fibre
仮,かり,temporary; provisional; interim / fictitious; assumed (name); alias / hypothetical; theoretical
どれどれ,何れ何れ,which / let me see; well now
こたつ,炬燵,kotatsu; table over an electric heater (orig. a charcoal brazier in a floor well) with a hanging quilt that retains heat
ヶ月,かげつ,months (period of)
過密,かみつ,overcrowding; crowded; congestion
かすむ,霞む,to become misty; to become hazy / to get blurry; to grow dim / to be overshadowed; to be upstaged; to be outshone
雅致,がち,artistry; good taste; elegance; grace
街,がい,... street; ... quarter; ... district
各種,かくしゅ,every kind; all sorts
角,かく,angle / square (or cube) / bishop / third degree (of the Japanese & Chinese pentatonic scale) / Chinese "horn" constellation (one of the 28 mansions) / jiao (monetary unit of China; one-tenth of a yuan)
叶う,かなう,"to come true (of a wish, prayer, etc.); to be realized; to be fulfilled / to suit (e.g. a purpose); to meet (wishes, ideals, etc.); to conform to (standards, rules, etc.); to be consistent with / to match (implies competition); to rival; to bear (e.g. the heat)"
叶える,かなえる,"to grant (request, wish); to answer (prayer) / to fulfill (conditions); to meet (requirements)"
寛容,かんよう,tolerance; open-mindedness; forbearance; generosity; magnanimity
あえて,敢えて,"purposely (of something needless, unexpected or seemingly counterproductive, etc.); daringly (doing something); deliberately; intentionally / not necessarily; not particularly; not especially / definitely not"
緩める,ゆるめる,"to loosen; to slacken / to relax (attention, efforts, etc.); to let down (one's guard); to relieve (tension) / to relax (a rule); to ease (e.g. restrictions); to loosen (control) / to reduce (speed); to slow down; to ease up / to make more gradual (of a slope)"
観,かん,look; appearance / spectacle; sight / observation meditation / outlook on ...; view of ...
貫く,つらぬく,"to go through; to pierce; to penetrate / to run through (e.g. a river through a city); to pass through / to stick to (opinion, principles, etc.); to carry out; to persist with; to keep (e.g. faith); to maintain (e.g. independence)"
間柄,あいだがら,"relationship; relation; terms (good, friendly, etc.)"
まるっきり,丸っきり,completely; absolutely; totally; (not) at all
既婚,きこん,married
きざ,気障,affected; smug; pompous; conceited; snobby; pretentious
起点,きてん,starting point; origin
よろしく,宜しく,well; properly; suitably / best regards; please remember me; please treat me favorably (favourably); please take care of; please do / just like ...; as though one were ... / by all means; of course
欺く,あざむく,"to deceive; to delude; to trick; to fool / to be as ... as ... (e.g. ""as bright as day", "as beautiful as a rose")"
議案,ぎあん,legislative bill; measure / agenda item
すくう,掬う,to scoop; to ladle out
休める,やすめる,to rest; to suspend; to give relief
急かす,せかす,to hurry (up); to urge on; to press; to rush
強いて,しいて,by force
ねだる,強請る,to beg; to pester; to plead; to coax; to hound; to importune
教習,きょうしゅう,training; instruction
橋渡し,はしわたし,bridge building; mediation; go-between; intermediary; (through the) good offices (of someone)
まして,況して,still more; to say nothing of; not to mention / still less
極めて,きわめて,exceedingly; extremely; decisively
近眼,きんがん,nearsightedness; shortsightedness; myopia
傾ける,かたむける,to incline; to lean; to tip; to tilt; to slant; to bend; to list / to devote oneself to; to concentrate on; to pour one's energy into / to ruin; to squander; to empty / to drink (alcohol)
恵む,めぐむ,"to bless; to show mercy to / to give (money, etc.)"
敬具,けいぐ,Yours sincerely; Yours truly; Sincerely yours
系,けい,system; lineage; group / corollary / system (range of strata that correspond to a particular time period) / (taxonomical) series
欠く,かく,to chip; to nick; to break; to crack / to lack
月賦,げっぷ,monthly installment (instalment); monthly payment
まくる,捲る,"to turn up; to roll up (e.g. sleeves) / to do over and over again; to do relentlessly; to do with reckless abandon / to stage a comeback (against) (in mahjong, horse racing, etc.); to come from behind"
みすぼらしい,見窄らしい,shabby; seedy
ご,御,honorific/polite/humble prefix / honorific suffix
ごまかす,誤魔化す,"to deceive; to falsify; to misrepresent; to cheat; to swindle; to tamper; to juggle; to manipulate / to dodge; to beg the question (issue, difficulties) / to varnish over; to gloss over"
交える,まじえる,"to mix; to combine / to exchange (words, fire, etc.) / to cross (e.g. swords); to join together"
公,おおやけ,"official; governmental; formal / public (use, facility, etc.); common / public (matter, place, etc.); (out in the) open"
公用,こうよう,government business; official business / public; official; governmental
向け,むけ,intended for ...; oriented towards ...; aimed at ...
垢,あか,dirt; filth; grime / account (e.g. online service)
いい加減,いいかげん,irresponsible; perfunctory; careless / lukewarm; half-baked; halfhearted; vague / reasonable; moderate / considerably; quite; rather; pretty
好況,こうきょう,prosperous conditions; healthy economy
構える,かまえる,"to set up (a house, store, etc.); to build; to establish; to run; to maintain / to have at the ready (e.g. a gun); to hold in preparation (e.g. a camera); to prepare in advance (e.g. a meal) / to adopt a posture; to assume a stance; to stand ready; to be poised for / to put on an air; to assume an attitude / to stiffen; to tense up; to become formal / to fabricate in order to deceive; to make up; to feign / to plan; to scheme"
込める,こめる,"to load (a gun, etc.); to charge / to put into (e.g. emotion, effort) / to include (e.g. tax in a sales price) / to hang over; to shroud; to enshroud; to envelop; to screen"
今更,いまさら,now (after such a long time); at this late hour (i.e. it is too late for something); at this point of time / afresh; anew; again
再,さい,re-; again; repeated; deutero-; deuto-; deuter-
もはや,最早,already; now / no longer; not any more
裁く,さばく,to judge
冴える,さえる,"to be clear (of a sight, sound, colour, etc.); to be bright; to be vivid; to be crisp / to be clear-headed; to be alert; to be on the ball; to be wide awake / to look upbeat; to be perky; to be cheerful / to master (a skill); to excel at; to cleanly execute / to be satisfying / to become frigid; to become intensely cold"
指差す,ゆびさす,to point at
持てる,もてる,"to be able to possess (hold, get, etc.) / to be well liked; to be popular; to be pampered (spoiled, doted upon, etc.); to be welcomed / to endure (the tests of time, the elements, etc.); to last / possessed; held / rich; wealthy; affluent"
もてなす,持て成す,to entertain; to make welcome
おのずから,自ずから,naturally; as a matter of course
うぬぼれ,自惚れ,pretension; conceit; hubris
室,しつ,room / wife (of someone of high rank) / scabbard / Chinese "Encampment" constellation (one of the 28 mansions)
もしくは,若しくは,or; otherwise
弱,じゃく,little less than; fewer than; under / weakness; the weak
取り巻く,とりまく,to surround; to encircle; to enclose
取り除く,とりのぞく,to remove; to deinstall; to take away; to set apart
殊に,ことに,especially; particularly; unusually; above all / additionally
腫れる,はれる,to swell (from inflammation); to become swollen
重んずる,おもんずる,to honor; to honour; to respect; to esteem; to prize
準急,じゅんきゅう,semi-express train; local express train; sub-express train; slower than an express (more stops)
書き取る,かきとる,to write down (what someone says); to take down dictation; to take notes (e.g. of a lecture) / to copy out (a text)
諸,しょ,various; many; several
なおさら,尚更,still more; even more; all the more / still less; even less
障る,さわる,to be harmful to; to hinder; to interfere with; to irritate
上下,うえした,top and bottom; up and down; high and low; above and below; upper and lower ends / upside-down
状,じょう,shape; state / letter; correspondence
畳,じょう,counter for tatami mats / measure of room size (in mat units)
新,しん,new; neo- / Gregorian calendar / Xin (dynasty of China)
人,じん,"-ian (e.g. Italian); -ite (e.g. Tokyoite) / -er (e.g. performer, etc.); person working with ... / man; person; people"
ちり取り,ちりとり,dustpan
整える,ととのえる,to put in order; to arrange; to tidy up; to straighten; to adjust; to fix / to get ready; to prepare; to arrange; to supply; to assemble; to buy / to work out (e.g. business deal); to arrange (e.g. marriage); to settle
製,せい,-made; make
もろい,脆い,brittle; fragile; weak; frail / tender-hearted; sentimental; easily moved
切ない,せつない,painful; heartrending; trying / oppressive; suffocating; miserable
説く,とく,to explain; to advocate; to preach; to persuade
おだてる,煽てる,to flatter; to soft-soap; to sweet talk; to cajole; to instigate
前,ぜん,the last (i.e. immediately preceding) (e.g. "the last mayor"); previous; one-time; former / pre- (e.g. "premodern") / before; earlier
全快,ぜんかい,complete recovery of health
繕う,つくろう,"to mend; to patch up; to repair; to fix; to darn / to fix (hair, clothes, appearance etc.); to adjust; to tidy up; to groom / to keep up appearances; to cover up (e.g. a mistake); to gloss over / to treat (illness, injury, etc.)"
おろそか,疎か,negligent; neglectful; careless; remiss
組み合わせる,くみあわせる,to join together; to combine; to join up
掻き回す,かきまわす,to stir up; to churn; to ransack; to disturb
こぐ,漕ぐ,"to row; to scull; to paddle / to pedal (e.g. bicycle) / to swing (on a swing) / to operate a hand pump / to push through (deep snow, the jungle, etc.)"
ふさわしい,相応しい,appropriate; adequate; suitable; fitting; worthy
総,そう,whole; all; general; gross; entire; overall
大概,たいがい,in general; almost all / mainly; mostly; most likely / moderately; suitably
大便,だいべん,feces; excrement; shit
たどる,辿る,to follow (road); to pursue (course); to follow up; to follow (hyperlink)
嘆く,なげく,to lament; to grieve; to regret / to deplore
ほころびる,綻びる,to come apart at the seams; to be ripped; to be torn / to begin to open; to begin to bloom / to smile broadly; to break into a smile
うちわ,団扇,uchiwa; type of traditional Japanese handheld fan
はじく,弾く,"to flip; to snap; to flick / to repel / to use (an abacus); to calculate / to strum; to pluck the strings (of a guitar, etc.)"
たるむ,弛む,"to slacken; to loosen; to relax; to droop (e.g. loose or flabby skin); to sag (ceiling) / to slack off (e.g. one's work, attention); to not put one's heart in"
遅らす,おくらす,to retard; to delay
築く,きずく,to build; to construct; to erect / to amass (e.g. fortune); to pile up
畜生,ちくしょう,beast (i.e. any animal other than man) / person reborn into the animal realm / brute (i.e. a contemptible human being) / damn it; damn; Christ; for Christ's sake
超,ちょう,super-; ultra-; hyper-; very; really / over (after a number or counter); more than
のどか,長閑,tranquil; calm; quiet; peaceful
はかどる,捗る,to make progress; to move right ahead (with the work); to advance
すぐ,直ぐ,immediately; at once; right away; directly / soon; before long; shortly / easily; readily; without difficulty / right (near); nearby; just (handy) / honest; upright; frank; straightforward
沈める,しずめる,to sink; to submerge / to floor (an opponent)
つじつま,辻褄,coherence; consistency
綴じる,とじる,to bind; to file / to top with egg (e.g. donburi)
的,てき,-like; typical
的,まと,mark; target
添う,そう,"to meet (wishes, expectations, etc.); to satisfy; to comply with; to live up to / to accompany; to go with; to stay by one's side / to associate with (someone); to mix with / to marry; to wed / to be added"
まとめ,纏め,settlement; conclusion; summary
とかく,兎角,(doing) various things; (doing) this and that / being apt to; being prone to; tending to / at any rate; anyhow; anyway / all sorts of (negative things); various / things that do not exist; rabbit horns
つく,吐く,to breathe out; to breathe / to tell (a lie); to use (foul language) / to vomit; to throw up; to spit up
妬む,ねたむ,to be jealous of; to envy; to begrudge
努めて,つとめて,as much as possible; as far as possible; to the best of one's ability; diligently
導く,みちびく,to guide; to lead; to show the way; to conduct / to derive; to deduce
つつく,突く,"to poke (repeatedly, lightly); to nudge / to peck at (one's food); to pick at / to peck at (someone's faults, etc.) / to egg on; to put up to"
馴れ馴れしい,なれなれしい,over-familiar
賑わう,にぎわう,to be crowded with people; to be bustling with / to prosper; to flourish; to do thriving business
入る,いる,to get in; to go in; to come in; to flow into; to set; to set in
いかに,如何に,"how; in what way / however much; however (e.g. easy, rich, sad); whatever; how much / hey; oi"
年頃,としごろ,approximate age; apparent age / marriageable age (esp. of a woman); age of maturity; age of adulthood / appropriate age (to ...); old enough (to ...) / past few years; for some years
ないし,乃至,from ... to; between ... and / or
派,は,clique; faction; school
罵る,ののしる,to abuse (verbally); to curse at; to shout abuse at; to speak ill of
背く,そむく,to run counter to; to go against; to disobey; to infringe
はげる,剥げる,to come off; to be worn off / to fade; to discolor; to discolour
罰,ばつ,punishment; penalty
判,はん,seal; stamp; monogram signature / judgment; judgement / size (of paper or books)
班,はん,group; party; team / squad; section
番目,ばんめ,indicates position in a sequence / divisions of a kabuki performance
卑しい,いやしい,lowborn; humble; lowly / vulgar; coarse; crude; mean; base; vile / shabby / greedy; gluttonous; avaricious
費,ひ,cost; expense
非,ひ,fault; error; mistake / going poorly; being disadvantageous; being unfavorable / un-; non-; an-
備え付ける,そなえつける,to provide; to furnish; to equip; to install
病,やまい,illness; disease / bad habit; weakness; fault
布巾,ふきん,tea-towel; dish cloth
負かす,まかす,to defeat
部,ぶ,department (in an organization); division; bureau / club / part; component; element / category / counter for copies of a newspaper or magazine
覆す,くつがえす,to overturn; to capsize; to upset / to overthrow (government etc.) / to reverse (decision etc.); to disprove (an established theory etc.); to overrule
変遷,へんせん,change; transition; vicissitudes
放射,ほうしゃ,radiation; emission
はちみつ,蜂蜜,honey
ほっぺた,頬っぺた,cheek
ごと,毎,each; every
未,ひつじ,"eighth sign of the Chinese zodiac (The Ram, 1pm-3pm, south-southwest, June)"
眠たい,ねむたい,sleepy; drowsy
むやみに,無闇に,thoughtlessly; recklessly; rashly; indiscriminately; indiscreetly; at random / excessively; unreasonably; immoderately; absurdly
むちゃくちゃ,無茶苦茶,nonsensical; unreasonable; absurd; unrealistic / awfully; extremely; to excess; senseless; reckless / disorder; confusion; being jumbled; being mixed up / very; extremely; excessively
無念,むねん,regret; chagrin; mortification / freedom from obstructive thoughts
あくる,明くる,"next (day, morning, etc.); following"
にきび,面皰,pimple; acne
目方,めかた,weight
夜具,やぐ,bedding; bedclothes
あらかじめ,予め,beforehand; in advance; previously
よそ見,よそみ,looking away; looking aside
たやすい,容易い,easy; simple; light
様,さま,Mr.; Mrs.; Miss; Ms. / makes words more polite (usu. in fixed expressions) / state; situation; appearance
裸足,はだし,"barefoot / superior to (a professional, etc. in ability or achievement)"
流,りゅう,"fashion; way; style; manner / school (of thought) / class; rank; rate / current (electrical, water, etc.); flow; stream"
凌ぐ,しのぐ,to endure; to keep out (e.g. rain); to stave off (e.g. starvation) / to pull through; to get over; to survive / to surpass; to outdo; to excel; to eclipse; to defy; to slight
料,りょう,fee; charge; rate / material
裂ける,さける,to split; to tear; to burst; to be separated; to be divided
露,つゆ,dew / tears / (not) a bit; (not) at all
いたわる,労る,to pity; to sympathize with; to sympathise with; to treat with sympathy; to console; to be kind to; to appreciate / to tend to (e.g. an injury); to care for; to nurse; to soothe
いじる,弄る,"to finger; to touch; to play with; to fiddle with; to toy with / to make changes to; to tinker with; to tamper with / to dabble in; to do as a hobby; to play around with / to grope; to feel around (in one's pocket, bag, etc.)"
漏る,もる,to leak; to run out
老ける,ふける,to age; to grow old (esp. in appearance); to show marks of age
和,わ,sum / harmony; peace / Japan; Japanese-style
詫び,わび,apology; excuse
わら,藁,straw
几帳面,きちょうめん,methodical; precise; meticulous; scrupulous; regular; punctual / wooden post that has been carved to have a rounded corner with grooves running along either side of it
とがめる,咎める,to blame; to reproach; to censure; to rebuke; to reprove; to find fault; to take to task; to criticize; to criticise / to question (a suspect); to challenge / to aggravate (an injury); to be aggravated; to get inflamed / to prick (one's conscience)
つぶやく,呟く,to mutter; to murmur; to grumble / to tweet (Twitter)
くちばし,嘴,beak; bill
さぞ,嘸,surely; certainly; no doubt; indeed
さえずる,囀る,to sing; to chirp; to twitter
おびただしい,夥しい,large number; innumerable; great many; immense; vast; abundant
おごる,奢る,to give (someone) a treat / to be extravagant; to live luxuriously / to be proud; to be haughty
婉曲,えんきょく,euphemistic; circumlocutory; roundabout; indirect
しなやか,嫋か,supple; flexible; elastic / graceful; elegant; refined
もめる,揉める,to disagree; to dispute; to fight (over)
檻,おり,cage; pen; jail cell; gaol cell
うっとうしい,鬱陶しい,gloomy (e.g. mood); depressing / irritating; troublesome / heavy (weather); cloudy
洒落る,しゃれる,to dress stylishly / to joke; to play on words
にじむ,滲む,"to run (of liquid); to spread / to blur; to blot; to be blurred / to ooze; to well up (of tears, etc.) / to show through (of feelings, emotions, etc.); to reveal itself"
ろくに,碌に,well; enough; properly; sufficiently; satisfactorily
きらびやか,煌びやか,gorgeous; gaudy; dazzling; gay; resplendent
そびえる,聳える,to rise; to tower; to soar
舐める,なめる,to lick / to taste / to experience (esp. a hardship) / to make fun of; to make light of; to put down; to treat with contempt; to underestimate
けなす,貶す,to speak ill of; to disparage
もたらす,齎す,to bring; to take; to bring about
かかと,踵,"heel (of foot, shoe, stocking, etc.)"
しつけ,躾,discipline; training; teaching manners
たくましい,逞しい,"burly; strong; sturdy / indomitable; indefatigable; strong-willed; resolute; bold / robust (vitality, appetite, economic growth, etc.); strong"
ばい菌,ばいきん,germ; germs; bacteria; mold; mould / something harmful; vermin
いびき,鼾,snoring; snore
誠,まこと,truth; reality / sincerity; honesty; integrity; fidelity / that's right
かつて,嘗て,once; before; formerly; ever; former; ex- / never yet; never before; first time; still not happened
側,がわ,"side (of something, or taking someone's side); part / (watch) case"
店,てん,-store; -shop
剥ぐ,はぐ,"to tear off; to peel off; to rip off; to strip off; to skin; to flay; to bark / to strip of (clothes, rank, etc.); to deprive of; to divest of"
面,おもて,face / surface / mask (esp. a noh or kyogen mask)
歪む,ゆがむ,to warp; to swerve; to deflect; to be crooked; to be distorted; to be bent; to incline; to slant; to be perverted; to be gross-grained; to get bent; to be strained
つぶる,瞑る,to close (eyes); to shut
打ち合わせる,うちあわせる,to knock together; to strike against each other / to arrange (e.g. a meeting); to discuss (in advance)
かすか,微か,faint; dim; weak; slight; vague; indistinct; hazy / poor; wretched; meagre; meager; scanty
代わる代わる,かわるがわる,alternately; by turns
群集,ぐんしゅう,crowd; community; group; herd; gathering; assembly
こもる,籠もる,"to shut oneself in (e.g. one's room); to be confined in; to seclude oneself; to hide away; to stay inside (one's shell) / to be filled with (emotion, enthusiasm, etc.) / to fill the room (of a gas, smell, etc.); to be heavy with (e.g. smoke); to be stuffy; to be dense / to be muffled (e.g. voice) / to hold (a castle, fortress, etc.) / to confine oneself in a temple to pray"
退く,しりぞく,to step back; to move back; to retreat / to withdraw (from the presence of a superior); to leave; to exit / to resign; to retire; to quit / to concede
清々しい,すがすがしい,"refreshing (e.g. feeling, scene, wind, morning air); brisk; bracing; fresh; refreshed"
添える,そえる,"to garnish; to accompany (as a card does a gift) / to add to as support; to prop up / to accompany (as an aid, guide, translator, etc.) / to mimic; to imitate / to draw something near to oneself; to approach nearby"
情け深い,なさけぶかい,tender-hearted; compassionate; charitable; good-hearted
はかない,儚い,"fleeting; transient; short-lived; momentary; ephemeral; fickle; vain / empty (dream, etc.); mere (hope); faint (possibility)"
ばらまく,ばら撒く,to scatter; to disseminate (e.g. a rumor); to spread (e.g. germs); to broadcast / to distribute widely (e.g. leaflets); to hand out freely; to spend recklessly
振り出し,ふりだし,starting point; beginning; outset / drawing (e.g. of a bill); issuing; draft; draught / shaking out / throw (of dice); toss / infusion
まちまち,区々,several; various; divergent; conflicting; different; diverse
民俗,みんぞく,folk customs; folkways; ethnic customs
股,もも,thigh / femoral
漏れる,もれる,to leak out; to escape; to come through; to shine through; to filter out / to find expression; to give vent / to leak out; to be divulged; to be disclosed / to be omitted; to be left out; to be excluded; to be not included
憂鬱,ゆううつ,depression; melancholy; dejection; gloom; despondency
養護,ようご,nursing; (protective) care
よほど,余程,very; greatly; much; to a large extent; quite / just about to
夜更け,よふけ,late at night; small hours of the morning
略奪,りゃくだつ,pillage; plunder; looting; robbery
わざわざ,態々,expressly; specially; doing something especially rather than incidentally
一挙に,いっきょに,at a stroke; with a single swoop
月日,がっぴ,(the) date
欲深,よくぶか,greedy; avaricious; covetous
ろくな,碌な,satisfactory; decent
密か,ひそか,secret; private; surreptitious
ございます,御座います,to be; to exist
おまけ,お負け,freebie (e.g. with a purchase); something additional; bonus; an extra / price reduction; discount / exaggeration
金槌,かなづち,hammer / hopeless swimmer; complete beginner at swimming; someone who sinks like a stone
いっそ,,rather; sooner; preferably
修行,しゅぎょう,ascetic practices / training; practice; discipline; study
うんざり,,tedious; boring; being fed up with
おい,,hey!; oi!; ahoy! / I; me
お産,おさん,(giving) birth; childbirth; delivery; confinement
お手上げ,おてあげ,being done for; giving up; being in a hopeless situation; not knowing what to do; being brought to one's knees; throwing up (one's) hands
がっくり,,heartbroken; crestfallen; dejected; disappointed
きちっと,,exactly; perfectly
くっきり,,distinctly (standing out); clearly; in sharp relief; boldly
だけ,丈,"only; just; merely; simply; no more than; nothing but; alone / as (e.g. as soon as, as much as) / worth"
ちらっと,,at a glance; by accident
と,,"if; when / and / with / particle used for quoting (with speech, thoughts, etc.) / promoted pawn / ?"
なんか,,things like ...; or something like that ...
ほっと,,feeling relieved; (sigh of) relief
もしかして,若しかして,perhaps; possibly; maybe; by any chance; if I'm not mistaken / if; in case; in the event that
ＯＫ,オッケー,OK
カテゴリー,,category
ボルト,,volt / bolt
くらい,,approximately; about; around; or so / to (about) the extent that; (almost) enough that; so ... that ...; at least / as ... as ...; like
意気込む,いきごむ,to be enthusiastic about; to be eager; to be keen
一心,いっしん,one mind / wholeheartedness; one's whole heart
押し込む,おしこむ,to push into; to cram into; to stuff into; to crowd into / to break in; to burgle; to burglarize
乙,おつ,second (party to an agreement); the B party (e.g. in a contract); the latter; defendant / stylish; chic; spicy; witty; tasty; romantic / strange; quaint; queer / thank you; good job; goodbye; goodnight
下火,したび,burning low; waning; declining
下地,したじ,groundwork; foundation / inclination; aptitude; elementary knowledge (of); grounding (in) / undercoat; first coat / soy sauce
なんだかんだ,何だかんだ,something or other; one thing or another; this or that
過多,かた,excess; surplus; superabundance
怪獣,かいじゅう,monster
改訂,かいてい,revision (of text); alteration; change
獲物,えもの,game; spoils; trophy; prey
学士,がくし,university graduate; bachelor / bachelor's degree
かつ,且つ,yet; moreover; and
粥,かゆ,thin rice porridge; watery cooked rice; rice gruel; congee
巻,まき,roll (e.g. of cloth) / winding / volume (of book)
感度,かんど,"sensitivity (e.g. of a measuring instrument); reception (radio, TV, etc.) / sensitivity (of film)"
簡潔,かんけつ,brevity; conciseness; simplicity
還暦,かんれき,60th birthday
まるごと,丸ごと,in its entirety; whole; wholly
岩石,がんせき,rock
危害,きがい,injury; harm; danger
寄与,きよ,contribution; service
季刊,きかん,quarterly (e.g. magazine)
起伏,きふく,undulation / ups and downs; highs and lows
議事堂,ぎじどう,assembly hall; parliament house; diet building; capitol; houses of parliament; congress hall
喫茶,きっさ,tea drinking / teahouse; tearoom; coffee lounge; coffee shop; (rather formal) cafe
共学,きょうがく,coeducation
共鳴,きょうめい,resonance; sympathetic (sound); (being in) sympathy
怯える,おびえる,to become frightened; to be frightened (of); to be scared (of)
桐,きり,paulownia tree; Paulownia tomentosa
かけっこ,駆けっこ,(foot) race; sprint
君主,くんしゅ,ruler; monarch; sovereign
軍服,ぐんぷく,military or naval uniform
刑罰,けいばつ,judgement; judgment; penalty; punishment
